% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1777025566.6678 0.000 0.000 0.0000 3.1295
1777025566.6720 0.000 0.000 0.0000 3.1295
1777025566.6771 0.000 0.000 0.0000 3.1295
1777025566.6828 0.000 0.000 0.0000 3.1295
1777025566.6874 0.000 0.000 0.0000 3.1295
1777025566.6924 0.000 0.000 0.0000 3.1295
1777025566.6972 0.000 0.000 0.0000 3.1295
1777025566.7021 0.000 0.000 0.0000 3.1295
1777025566.7070 0.000 0.000 0.0000 3.1295
1777025566.7120 0.000 0.000 0.0000 3.1295
1777025566.7181 0.000 0.000 0.0000 3.1295
1777025566.7220 0.000 0.000 0.0000 3.1295
1777025566.7272 0.000 0.000 0.0000 3.1295
1777025566.7328 0.000 0.000 0.0000 3.1295
1777025566.7378 0.000 0.000 0.0000 3.1295
1777025566.7425 0.000 0.000 0.0000 3.1295
1777025566.7477 0.000 0.000 0.0000 3.1295
1777025566.7527 0.000 0.000 0.0000 3.1295
1777025566.7573 0.000 0.000 0.0000 3.1295
1777025566.7626 0.000 0.000 0.0000 3.1295
1777025566.7677 0.000 0.000 0.0000 3.1295
1777025566.7725 0.000 0.000 0.0000 3.1295
1777025566.7775 0.000 0.000 0.0000 3.1295
1777025566.7820 0.000 0.000 0.0000 3.1295
1777025566.7879 0.000 0.000 0.0000 3.1295
1777025566.7920 0.000 0.000 0.0000 3.1295
1777025566.7974 0.000 0.000 0.0000 3.1295
1777025566.8021 0.000 0.000 0.0000 3.1295
1777025566.8075 0.000 0.000 0.0000 3.1295
1777025566.8122 0.000 0.000 0.0000 3.1295
1777025566.8173 0.000 0.000 0.0000 3.1295
1777025566.8227 0.000 0.000 0.0000 3.1295
1777025566.8272 0.000 0.000 0.0000 3.1295
1777025566.8322 0.000 0.000 0.0000 3.1295
1777025566.8372 0.000 0.000 0.0000 3.1295
1777025566.8423 0.000 0.000 0.0000 3.1295
1777025566.8482 0.000 0.000 0.0000 3.1295
1777025566.8527 0.000 0.000 0.0000 3.1295
1777025566.8573 0.000 0.000 0.0000 3.1295
1777025566.8629 0.000 0.000 0.0000 3.1295
1777025566.8670 0.000 0.000 0.0000 3.1295
1777025566.8730 0.000 0.000 0.0000 3.1295
1777025566.8780 0.000 0.000 0.0000 3.1295
1777025566.8829 0.000 0.000 0.0000 3.1295
1777025566.8879 0.000 0.000 0.0000 3.1295
1777025566.8924 0.000 0.000 0.0000 3.1295
1777025566.8975 0.000 0.000 0.0000 3.1295
1777025566.9056 0.000 0.000 0.0000 3.1295
1777025566.9077 0.000 0.000 0.0000 3.1295
1777025566.9125 0.000 0.000 0.0000 3.1295
1777025566.9176 0.000 0.000 0.0000 3.1295
1777025566.9228 0.000 0.000 0.0000 3.1295
1777025566.9297 0.000 0.000 0.0000 3.1295
1777025566.9322 0.000 0.000 0.0000 3.1295
1777025566.9373 0.000 0.000 0.0000 3.1295
1777025566.9425 0.000 0.000 0.0000 3.1295
1777025566.9477 0.000 0.000 0.0000 3.1295
1777025566.9525 0.000 0.000 0.0000 3.1295
1777025566.9575 0.000 0.000 0.0000 3.1295
1777025566.9621 0.000 0.000 0.0000 3.1295
1777025566.9681 0.000 0.000 0.0000 3.1295
