% teensy communication to/from Teensy
% 1 	Time (sec) from system
% 2 	(Tx) Send to Teensy
%   	(Rx) Received from Teensy
%   	(Qu N) Put in queue to Teensy, now queue size N
% 3 	Message string queued, send or received
1777025564.4275 ## Connection to USB open
1777025564.9913 Rx ;89svo 0 0 0  0 0 0  0 0 0  0 0 0  0 0 0
1777025564.9946 Rx ;68livn 88 88 80 84 79 78 85 14 5
1777025564.9946 Rx ;20gyro -0.122070 -1.983643 0.762939 2128.240
1777025564.9958 Rx ;38pose 2128.2400 0.000 0.000 0.0000 3.1295
1777025564.9959 Rx ;14acc 0.034668 -0.001465 1.164795 2128.241
1777025564.9991 Rx ;53vel 2128.2439 0.000 0.000 0.0000 0.000 4
1777025565.0003 Rx ;51pose 2128.2449 0.000 0.000 0.0000 3.1295
1777025565.0036 Rx ;80ird 0.339 1.198 6667 2952 1
1777025565.0047 Rx ;07livn 107 94 84 93 89 93 82 25 5
1777025565.0048 Rx ;39pose 2128.2500 0.000 0.000 0.0000 3.1295
1777025565.0060 Rx ;93mca 0.001 0.001 17
1777025565.0060 Rx ;11gyro -0.122070 -2.471924 0.915527 2128.252
1777025565.0072 Rx ;44vel 2128.2520 0.000 0.000 0.0000 0.000 4
1777025565.0072 Rx ;10acc 0.033691 -0.002930 1.164795 2128.253
1777025565.0105 Rx ;52pose 2128.2549 0.000 0.000 0.0000 3.1295
1777025565.0155 Rx ;92livn 102 94 80 84 95 86 80 23 5
1777025565.0156 Rx ;43vel 2128.2600 0.000 0.000 0.0000 0.000 4
1777025565.0157 Rx ;40pose 2128.2600 0.000 0.000 0.0000 3.1295
1777025565.0190 Rx ;46gyro -0.152588 -2.288818 0.579834 2128.264
1777025565.0202 Rx ;08acc 0.032471 -0.002197 1.171387 2128.265
1777025565.0203 Rx ;53pose 2128.2649 0.000 0.000 0.0000 3.1295
1777025565.0219 Rx ;36mot 0 0 0.1 0.1 0
1777025565.0230 Rx ;52vel 2128.2681 0.000 0.000 0.0000 0.000 4
1777025565.0232 Rx ;62ird 0.339 1.149 6671 3015 1
1777025565.0243 Rx ;13livn 106 96 85 88 87 95 93 14 5
1777025565.0273 Rx ;40pose 2128.2700 0.000 0.000 0.0000 3.1294
